run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,3,8,8,depolarizing,iid_p,0.2,0.2,1,0,TRUE,3,0.9999996862,3.14E-07,0.9999993723,0.9999993723,1,0.8666666667,3.14E-07,0.1333333333,0.9999993723,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,4,16,16,depolarizing,iid_p,0.2,0.2,1,0,TRUE,4,1,9.83E-14,1,1,1,0.8666666667,9.83E-14,0.1333333333,1,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,5,32,32,depolarizing,iid_p,0.2,0.2,1,0,TRUE,5,1,1.11E-16,1,1,1,0.8666666667,1.11E-16,0.1333333333,1,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,6,64,64,depolarizing,iid_p,0.2,0.2,1,0,TRUE,6,1,1.11E-16,1,1,1,0.8666666667,1.11E-16,0.1333333333,1,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,7,128,128,depolarizing,iid_p,0.2,0.2,1,0,TRUE,7,1,1.11E-16,1,1,1,0.8666666667,1.11E-16,0.1333333333,1,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,8,256,256,depolarizing,iid_p,0.2,0.2,1,0,TRUE,8,1,1.11E-16,1,1,1,0.8666666667,1.11E-16,0.1333333333,1,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,9,512,512,depolarizing,iid_p,0.2,0.2,1,0,TRUE,9,1,1.11E-16,1,1,1,0.8666666667,1.11E-16,0.1333333333,1,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,10,1024,1024,depolarizing,iid_p,0.2,0.2,1,0,TRUE,10,1,1.11E-16,1,1,1,0.8666666667,1.11E-16,0.1333333333,1,0.7688888889
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,0,1,1,depolarizing,iid_p,0.3,0.3,1,0,TRUE,0,0.8,0.2,0.68,0.6,1,0.8,0.2,0.2,0.68,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,1,2,2,depolarizing,iid_p,0.3,0.3,1,0,TRUE,1,0.9411764706,0.05882352941,0.8892733564,0.8823529412,1,0.8,0.05882352941,0.2,0.8892733564,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,2,4,4,depolarizing,iid_p,0.3,0.3,1,0,TRUE,2,0.9961089494,0.003891050584,0.9922481794,0.9922178988,1,0.8,0.003891050584,0.2,0.9922481794,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,3,8,8,depolarizing,iid_p,0.3,0.3,1,0,TRUE,3,0.9999847414,1.53E-05,0.9999694834,0.9999694829,1,0.8,1.53E-05,0.2,0.9999694834,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,4,16,16,depolarizing,iid_p,0.3,0.3,1,0,TRUE,4,0.9999999998,2.33E-10,0.9999999995,0.9999999995,1,0.8,2.33E-10,0.2,0.9999999995,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,5,32,32,depolarizing,iid_p,0.3,0.3,1,0,TRUE,5,1,1.11E-16,1,1,1,0.8,1.11E-16,0.2,1,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,6,64,64,depolarizing,iid_p,0.3,0.3,1,0,TRUE,6,1,1.11E-16,1,1,1,0.8,1.11E-16,0.2,1,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,7,128,128,depolarizing,iid_p,0.3,0.3,1,0,TRUE,7,1,1.11E-16,1,1,1,0.8,1.11E-16,0.2,1,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,8,256,256,depolarizing,iid_p,0.3,0.3,1,0,TRUE,8,1,1.11E-16,1,1,1,0.8,1.11E-16,0.2,1,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,9,512,512,depolarizing,iid_p,0.3,0.3,1,0,TRUE,9,1,1.11E-16,1,1,1,0.8,1.11E-16,0.2,1,0.68
M1_N2_depolarizing_iid_p_p0.30000,1,0,1,10,1024,1024,depolarizing,iid_p,0.3,0.3,1,0,TRUE,10,1,1.11E-16,1,1,1,0.8,1.11E-16,0.2,1,0.68
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,0,1,1,depolarizing,iid_p,0.4,0.4,1,0,TRUE,0,0.7333333333,0.2666666667,0.6088888889,0.4666666667,1,0.7333333333,0.2666666667,0.2666666667,0.6088888889,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,1,2,2,depolarizing,iid_p,0.4,0.4,1,0,TRUE,1,0.8832116788,0.1167883212,0.7937023816,0.7664233577,1,0.7333333333,0.1167883212,0.2666666667,0.7937023816,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,2,4,4,depolarizing,iid_p,0.4,0.4,1,0,TRUE,2,0.9828153319,0.01718466805,0.9662212895,0.9656306639,1,0.7333333333,0.01718466805,0.2666666667,0.9662212895,0.6088888889
