run_id,timestamp,M,N,noise_type,p,apply_twirling,backend_name,total_shots,num_levels,final_success,total_attempts,total_measurements,final_fidelity,experiment_duration_sec,error_msg,config
IBM_M1_depolarizing_p0.100_aer_simulator_20251118_144803,20251118_144803,1,2,depolarizing,0.1,True,aer_simulator,1024,1,True,1,1024,1.0,0.14430904388427734,,"{""shots_per_step"": 1024, ""max_attempts"": 5, ""target_state"": ""hadamard"", ""twirling"": true}"
IBM_M1_depolarizing_p0.200_aer_simulator_20251118_144803,20251118_144803,1,2,depolarizing,0.2,True,aer_simulator,1024,1,True,1,1024,0.005859375,0.13754796981811523,,"{""shots_per_step"": 1024, ""max_attempts"": 5, ""target_state"": ""hadamard"", ""twirling"": true}"
IBM_M2_depolarizing_p0.100_aer_simulator_20251118_144803,20251118_144803,2,2,depolarizing,0.1,True,aer_simulator,1024,1,True,1,1024,1.0,0.13820600509643555,,"{""shots_per_step"": 1024, ""max_attempts"": 5, ""target_state"": ""hadamard"", ""twirling"": true}"
IBM_M2_depolarizing_p0.200_aer_simulator_20251118_144803,20251118_144803,2,2,depolarizing,0.2,True,aer_simulator,1024,1,True,1,1024,0.013671875,0.13747191429138184,,"{""shots_per_step"": 1024, ""max_attempts"": 5, ""target_state"": ""hadamard"", ""twirling"": true}"
