run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.01000_twirl,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9948995051004949,0.0099999999999998,0.0051004948995049,0.9802,0.9898510402974297,0.5100494899505034,1,True,0.98,0.9897990102009898
M1_N2_dephase_z_iid_p_p0.10000_twirl,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9395604395604396,0.0999999999999999,0.0604395604395602,0.8199999999999998,0.8864267600531339,0.6043956043956032,1,True,0.7999999999999999,0.8791208791208792
M1_N2_dephase_z_iid_p_p0.20000_twirl,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.857142857142857,0.1999999999999999,0.1428571428571426,0.6799999999999998,0.7551020408163267,0.7142857142857137,1,True,0.6,0.7142857142857144
M1_N2_dephase_z_iid_p_p0.30000_twirl,1,2,dephase_z,iid_p,0.3,0.3,0.7,0.7531645569620253,0.2999999999999998,0.2468354430379745,0.5800000000000001,0.6281845858035572,0.8227848101265823,1,True,0.4000000000000001,0.5063291139240507
M1_N2_dephase_z_iid_p_p0.40000_twirl,1,2,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.6315789473684209,0.3999999999999998,0.3684210526315788,0.52,0.5346260387811634,0.9210526315789472,1,True,0.2,0.2631578947368421
M1_N2_dephase_z_iid_p_p0.50000_twirl,1,2,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999998,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,1,True,2.220446049250313e-16,3.3306690738754696e-16
M1_N2_dephase_z_iid_p_p0.60000_twirl,1,2,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.3684210526315788,0.5999999999999999,0.631578947368421,0.52,0.5346260387811634,1.0526315789473686,1,True,0.2,0.2631578947368421
M1_N2_dephase_z_iid_p_p0.70000_twirl,1,2,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.2468354430379747,0.6999999999999998,0.7531645569620251,0.5800000000000002,0.6281845858035568,1.0759493670886076,1,True,0.3999999999999999,0.5063291139240503
M1_N2_dephase_z_iid_p_p0.80000_twirl,1,2,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.1428571428571428,0.7999999999999998,0.8571428571428571,0.6799999999999998,0.7551020408163267,1.0714285714285716,1,True,0.6,0.7142857142857144
M1_N2_dephase_z_iid_p_p0.90000_twirl,1,2,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0604395604395604,0.8999999999999999,0.9395604395604396,0.8199999999999998,0.8864267600531339,1.043956043956044,1,True,0.7999999999999999,0.8791208791208792
M1_N4_dephase_z_iid_p_p0.01000_twirl,1,4,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.997423671499069,0.0099999999999998,0.0025763285009306,0.9802,0.994860617935228,0.2576328500930673,2,True,0.98,0.9948473429981384
M1_N4_dephase_z_iid_p_p0.10000_twirl,1,4,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9660243894632397,0.0999999999999999,0.0339756105367601,0.8199999999999998,0.9343574631491708,0.3397561053676015,2,True,0.7999999999999999,0.9320487789264796
