run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M2_N2_depolarizing_iid_p_p0.01000,2,2,depolarizing,iid_p,0.01,0.01,0.9867111111111108,0.9932225313698704,0.0132888888888886,0.0067774686301289,0.9736865264197532,0.9865138119968246,0.5100101811970082,1,False,,
M2_N2_depolarizing_iid_p_p0.10000,2,2,depolarizing,iid_p,0.1,0.1,0.8711111111111105,0.92264686808149,0.1288888888888887,0.0773531319185095,0.7665975308641972,0.8540831036985231,0.6001536097125746,1,False,,
M2_N2_depolarizing_iid_p_p0.20000,2,2,depolarizing,iid_p,0.2,0.2,0.7511111111111105,0.8266007895324873,0.2488888888888887,0.173399210467512,0.5911901234567898,0.696524700002647,0.696693256342683,1,False,,
M2_N2_depolarizing_iid_p_p0.30000,2,2,depolarizing,iid_p,0.3,0.3,0.6399999999999999,0.7177242888402623,0.3599999999999996,0.2822757111597371,0.4624000000000001,0.5481520141346139,0.7840991976659372,1,False,,
M2_N2_depolarizing_iid_p_p0.40000,2,2,depolarizing,iid_p,0.4,0.4,0.5377777777777777,0.6033086433985646,0.4622222222222218,0.3966913566014349,0.3707456790123457,0.4252519783692488,0.8582264926473357,1,False,,
M2_N2_depolarizing_iid_p_p0.50000,2,2,depolarizing,iid_p,0.5,0.5,0.4444444444444443,0.4905660377358489,0.5555555555555551,0.5094339622641506,0.308641975308642,0.3357066571733713,0.9169811320754718,1,False,,
M2_N2_depolarizing_iid_p_p0.60000,2,2,depolarizing,iid_p,0.6,0.6,0.3599999999999999,0.3853904282115867,0.6399999999999997,0.6146095717884128,0.2704,0.2796223565913114,0.9603274559193956,1,False,,
M2_N2_depolarizing_iid_p_p0.70000,2,2,depolarizing,iid_p,0.7,0.7,0.2844444444444444,0.2917626273779852,0.7155555555555554,0.7082373726220144,0.2522271604938271,0.2532106791711354,0.9897727257139954,1,False,,
M2_N2_depolarizing_iid_p_p0.75000,2,2,depolarizing,iid_p,0.75,0.75,0.2499999999999999,0.2499999999999999,0.7499999999999998,0.7499999999999998,0.25,0.25,1.0,1,False,,
M2_N2_depolarizing_iid_p_p0.80000,2,2,depolarizing,iid_p,0.8,0.8,0.2177777777777775,0.2117866044105119,0.7822222222222219,0.7882133955894879,0.2522271604938269,0.2532106791711354,1.0076591704979252,1,False,,
M2_N2_depolarizing_iid_p_p0.90000,2,2,depolarizing,iid_p,0.9,0.9,0.1599999999999998,0.1460957178841309,0.8399999999999999,0.8539042821158689,0.2703999999999997,0.2796223565913114,1.016552716804606,1,False,,
M2_N4_depolarizing_iid_p_p0.01000,2,4,depolarizing,iid_p,0.01,0.01,0.9867111111111108,0.9965712580006512,0.0132888888888886,0.0034287419993481,0.9736865264197532,0.9931601305061726,0.2580157022920916,2,False,,
M2_N4_depolarizing_iid_p_p0.10000,2,4,depolarizing,iid_p,0.1,0.1,0.8711111111111105,0.9562636720904868,0.1288888888888887,0.0437363279095126,0.7665975308641972,0.9153599826972646,0.3393335786082881,2,False,,
M2_N4_depolarizing_iid_p_p0.20000,2,4,depolarizing,iid_p,0.2,0.2,0.7511111111111105,0.8883062132023289,0.2488888888888887,0.1116937867976704,0.5911901234567898,0.7947943709184073,0.4487696790977833,2,False,,
M2_N4_depolarizing_iid_p_p0.30000,2,4,depolarizing,iid_p,0.3,0.3,0.6399999999999999,0.7935545727275535,0.3599999999999996,0.2064454272724458,0.4624000000000001,0.6481016152689193,0.5734595202012389,2,False,,
M2_N4_depolarizing_iid_p_p0.40000,2,4,depolarizing,iid_p,0.4,0.4,0.5377777777777777,0.6755700503194673,0.4622222222222218,0.3244299496805322,0.3707456790123457,0.4988507346317651,0.7018917180588442,2,False,,
M2_N4_depolarizing_iid_p_p0.50000,2,4,depolarizing,iid_p,0.5,0.5,0.4444444444444443,0.5450426439232409,0.5555555555555551,0.4549573560767588,0.308641975308642,0.3749048126713373,0.8189232409381665,2,False,,
M2_N4_depolarizing_iid_p_p0.60000,2,4,depolarizing,iid_p,0.6,0.6,0.3599999999999999,0.4161295120983734,0.6399999999999997,0.583870487901626,0.2704,0.2931144181222043,0.9122976373462912,2,False,,
M2_N4_depolarizing_iid_p_p0.70000,2,4,depolarizing,iid_p,0.7,0.7,0.2844444444444444,0.3005978879224202,0.7155555555555554,0.6994021120775793,0.2522271604938271,0.2546308778440012,0.9774253119096608,2,False,,
M2_N4_depolarizing_iid_p_p0.75000,2,4,depolarizing,iid_p,0.75,0.75,0.2499999999999999,0.2499999999999999,0.7499999999999998,0.7499999999999998,0.25,0.25,1.0,2,False,,
M2_N4_depolarizing_iid_p_p0.80000,2,4,depolarizing,iid_p,0.8,0.8,0.2177777777777775,0.2046460341018202,0.7822222222222219,0.7953539658981797,0.2522271604938269,0.2546308778440012,1.0167877404948324,2,False,,
M2_N4_depolarizing_iid_p_p0.90000,2,4,depolarizing,iid_p,0.9,0.9,0.1599999999999998,0.1297352241174137,0.8399999999999999,0.8702647758825863,0.2703999999999997,0.2931144181222043,1.036029495098317,2,False,,
M2_N8_depolarizing_iid_p_p0.01000,2,8,depolarizing,iid_p,0.01,0.01,0.9867111111111108,0.998275366539087,0.0132888888888886,0.0017246334609122,0.9736865264197532,0.9965551920705468,0.1297801099348718,3,False,,
