run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level
M5_N256_depolarizing_iid_p_p0.80000,5,256,dephase_z,iid_p,0.8,0.8,0.0221326749,0.03125000012,0.9778673251,0.9687499999,0.03195064478,0.03125,0.9906763167,24,TRUE,8,3
M5_N256_depolarizing_iid_p_p0.90000,5,256,dephase_z,iid_p,0.9,0.9,0.01024,0.03125082919,0.98976,0.9687491708,0.0380204032,0.03125,0.978771794,24,TRUE,8,3
M5_N512_depolarizing_iid_p_p0.60000,5,512,dephase_z,iid_p,0.6,0.6,0.07776,0.03125018137,0.92224,0.9687498186,0.0380204032,0.03125,1.050431361,27,TRUE,9,3
M5_N512_depolarizing_iid_p_p0.70000,5,512,dephase_z,iid_p,0.7,0.7,0.04315127572,0.03125000001,0.9568487243,0.96875,0.03195064478,0.03125,1.012437991,27,TRUE,9,3
M5_N512_depolarizing_iid_p_p0.80000,5,512,dephase_z,iid_p,0.8,0.8,0.0221326749,0.03124999999,0.9778673251,0.96875,0.03195064478,0.03125,0.9906763169,27,TRUE,9,3
M5_N512_depolarizing_iid_p_p0.90000,5,512,dephase_z,iid_p,0.9,0.9,0.01024,0.03124981863,0.98976,0.9687501814,0.0380204032,0.03125,0.978772815,27,TRUE,9,3
M5_N1024_depolarizing_iid_p_p0.60000,5,1024,dephase_z,iid_p,0.6,0.6,0.07776,0.03125003967,0.92224,0.9687499603,0.0380204032,0.03125,1.050431515,30,TRUE,10,3
M5_N1024_depolarizing_iid_p_p0.70000,5,1024,dephase_z,iid_p,0.7,0.7,0.04315127572,0.03125,0.9568487243,0.96875,0.03195064478,0.03125,1.012437991,30,TRUE,10,3
M5_N1024_depolarizing_iid_p_p0.80000,5,1024,dephase_z,iid_p,0.8,0.8,0.0221326749,0.03125,0.9778673251,0.96875,0.03195064478,0.03125,0.9906763168,30,TRUE,10,3
M5_N1024_depolarizing_iid_p_p0.90000,5,1024,dephase_z,iid_p,0.9,0.9,0.01024,0.03125003967,0.98976,0.9687499603,0.0380204032,0.03125,0.9787725917,30,TRUE,10,3
M5_N2_depolarizing_iid_p_p0.10000,5,2,dephase_z,iid_p,0.1,0.1,0.7082455967,0.924188909,0.2917544033,0.075811091,0.5145392869,0.8550940886,0.2598455761,3,TRUE,1,3
