M,N,physical_error_rate,final_logical_error,error_reduction_ratio
1,8,0.01,0.0006360686960057349,0.1272137392011469
1,8,0.1,0.007487790810549484,0.14975581621098977
1,8,0.5,0.08731700282927327,0.34926801131709306
1,8,0.7,0.19595745479515314,0.5598784422718661
1,8,0.8,0.27998595388191233,0.6999648847047808
1,8,0.9,0.38376869318517254,0.8528193181892724
1,8,0.95,0.4410321156115472,0.9284886644453626
1,8,0.99,0.48815049352876205,0.9861626131894183
1,16,0.01,0.0003184390599783911,0.06368781199567818
1,16,0.1,0.0038001707301427686,0.07600341460285542
1,16,0.5,0.05158128504231455,0.2063251401692582
1,16,0.7,0.13909373894318047,0.3974106826948014
1,16,0.8,0.2244334381489054,0.5610835953722635
1,16,0.9,0.34776708891191377,0.7728157531375862
1,16,0.95,0.42173899422952854,0.8878715667990075
1,16,0.99,0.48420361534910006,0.9781891219173738
1,32,0.01,0.0001593209495643781,0.0318641899128756
1,32,0.1,0.0019145539972782238,0.0382910799455645
1,32,0.5,0.02851597732378479,0.11406390929513915
1,32,0.7,0.08999727799255686,0.2571350799787339
1,32,0.8,0.16635883220815217,0.41589708052038044
1,32,0.9,0.30310674969180035,0.6735705548706675
1,32,0.95,0.3964972352176419,0.8347310215108251
1,32,0.99,0.4789451587660398,0.9675659773051309
1,64,0.01,7.968585996886792e-05,0.015937171993773574
1,64,0.1,0.0009609460178190007,0.019218920356380027
1,64,0.5,0.015082393932659283,0.06032957573063713
1,64,0.7,0.0534236736464599,0.152639067561314
1,64,0.8,0.11263810068147194,0.2815952517036798
1,64,0.9,0.2503784231771741,0.5563964959492759
1,64,0.95,0.36393976577517656,0.7661889805793191
1,64,0.99,0.47194346187633507,0.9534211351037072
1,128,0.01,3.9849280073705267e-05,0.00796985601474105
1,128,0.1,0.0004813968694085245,0.009627937388170495
1,128,0.5,0.007770364374534832,0.031081457498139328
1,128,0.7,0.029637644659280267,0.08467898474080077
1,128,0.8,0.06962143663455542,0.17405359158638853
1,128,0.9,0.1927019357890684,0.42822652397570765
1,128,0.95,0.32295635507420367,0.679908115945692
1,128,0.99,0.4626305039966959,0.9346070787812039
1,256,0.01,1.992622803360007e-05,0.003985245606720012
1,256,0.1,0.0002409302334034332,0.004818604668068667
1,256,0.5,0.00394579348027402,0.01578317392109608
1,256,0.7,0.015709820035465706,0.04488520010133059
1,256,0.8,0.039813159781735497,0.09953289945433874
1,256,0.9,0.13608907795726688,0.3024201732383709
1,256,0.95,0.2734115287753686,0.5756032184744603
1,256,0.99,0.45026660752852854,0.9096295101586436
1,512,0.01,9.963511075308367e-06,0.0019927022150616723
1,512,0.1,0.00012052317107005611,0.002410463421401124
1,512,0.5,0.001988496620760274,0.007953986483041096
1,512,0.7,0.00810361562385429,0.02315318749672654
1,512,0.8,0.02152186306970917,0.05380465767427293
1,512,0.9,0.08760417936728782,0.19467595414952849
1,512,0.95,0.2172388612888036,0.4573449711343234
1,512,0.99,0.43390677758317414,0.876579348652877
1,1024,0.01,4.981854809695447e-06,0.0009963709619390888
1,1024,0.1,6.027611224508889e-05,0.0012055222449017786
1,1024,0.5,0.000998206352718253,0.003992825410873012
1,1024,0.7,0.00411774028332907,0.011764972238083059
1,1024,0.8,0.011228994548319838,0.028072486370799593
1,1024,0.9,0.05177792951070597,0.11506206557934662
1,1024,0.95,0.159304990547399,0.3353789274682084
1,1024,0.99,0.41238600404351794,0.8331030384717534
2,8,0.01,0.0019322886533919739,0.12946657644167286
2,8,0.1,0.02553755741038894,0.1792109291957119
2,8,0.5,0.38471155781647304,0.6839316583403965
2,8,0.7,0.6227532302528744,0.912458945425457
2,8,0.8,0.6958079864887582,0.9663999812343864
2,8,0.9,0.7368850822757063,0.9924378212467424
2,8,0.95,0.7467502074914101,0.9981623491948673
2,8,0.99,0.7498703842774526,0.9999271717537787
2,16,0.01,0.0009686358896520737,0.06490022711236654
2,16,0.1,0.013209057229550836,0.09269513845298835
2,16,0.5,0.3039719662519453,0.540394606670125
2,16,0.7,0.591407364914515,0.8665309376036849
2,16,0.8,0.683611270774758,0.949460098298275
2,16,0.9,0.7341732685241724,0.9887855468339022
2,16,0.95,0.7460946603701812,0.9972860957329074
2,16,0.99,0.749844452175605,0.9998925921600226
2,32,0.01,0.0004849437513283889,0.03249204364009295
2,32,0.1,0.006721612793944267,0.04716921258908259
2,32,0.5,0.2209342255635595,0.3927719565574391
2,32,0.7,0.5515974609294134,0.8082014079551845
2,32,0.8,0.6683666601520325,0.928287027988934
2,32,0.9,0.7308794387168958,0.9843494124133275
2,32,0.95,0.7453055345878559,0.9962312910113362
2,32,0.99,0.7498133297114765,0.9998510913911077
2,64,0.01,0.00024262869396751238,0.016256528909046
2,64,0.1,0.0033910274456028324,0.023796683828791812
2,64,0.5,0.14613282741465122,0.25979169318160217
2,64,0.7,0.5013627815720163,0.7345974821568004
2,64,0.8,0.6492023544668911,0.9016699367595711
2,64,0.9,0.7268693622294535,0.978948635999264
2,64,0.95,0.7443550206001833,0.9949607627070121
2,64,0.99,0.7497759770776735,0.9998012828985211
2,128,0.01,0.00012135359753319182,0.008130894307081502
2,128,0.1,0.0017031927506014832,0.011952229828782341
2,128,0.5,0.08826773445206613,0.15692041680367314
2,128,0.7,0.43916167098212744,0.643460323783337
2,128,0.8,0.6249789869513801,0.8680263707658057
2,128,0.9,0.7219738816209328,0.9723553961224684
2,128,0.95,0.7432092604493772,0.9934292537335034
2,128,0.99,0.74973114574159,0.9997415018056339
2,256,0.01,6.0686617159339836e-05,0.004066105002300813
2,256,0.1,0.000853531931635826,0.005989697765865448
2,256,0.5,0.049548578459567,0.08808636170589688
2,256,0.7,0.36512863701928766,0.5349870139476742
2,256,0.8,0.5942355953400453,0.825327215750063
2,256,0.9,0.7159782485391069,0.9642804694129384
2,256,0.95,0.7418269203501825,0.9915815142525415
2,256,0.99,0.7496773363640594,0.9996697487936251
2,512,0.01,3.034576389783886e-05,0.0020332170115804865
2,512,0.1,0.00042725185086838684,0.0029982586025851716
2,512,0.5,0.02645077214270531,0.047023594920364994
2,512,0.7,0.282948471909794,0.4145765156187458
2,512,0.8,0.5551845227609238,0.7710896149457275
2,512,0.9,0.7086076806233571,0.9543537786173159
2,512,0.95,0.740157379475153,0.9893498806685421
2,512,0.99,0.7496127481535716,0.9995836225670187
2,1024,0.01,1.5173495868468786e-05,0.001016649639428391
2,1024,0.1,0.00021374764752395435,0.0014999834913961712
2,1024,0.5,0.013697924877603957,0.0243518664490737
2,1024,0.7,0.2009508931174541,0.29443354302923674
2,1024,0.8,0.5058632452323506,0.702587840600487
2,1024,0.9,0.6995077208410722,0.9420979405266965
2,1024,0.95,0.738138413266355,0.9866511789692298
2,1024,0.99,0.7495352178778373,0.9994802385276357
3,8,0.01,0.0034242897430986057,0.1317623646379818
3,8,0.1,0.0508598969307216,0.2144855959123737
3,8,0.5,0.6908856665186289,0.9023812787182092
3,8,0.7,0.8408480267051399,0.9876353272120275
3,8,0.8,0.8652437986106006,0.9968246527771897
3,8,0.9,0.8737973165193965,0.9996251297233193
3,8,0.95,0.8748499280595345,0.9999534833963213
3,8,0.99,0.8749987997232421,0.9999996282547621
3,16,0.01,0.0017188567723809259,0.06613944782545765
3,16,0.1,0.026945322438423708,0.11363341038871362
3,16,0.5,0.652271322586248,0.8519462172555076
3,16,0.7,0.8362106701876901,0.9821884248277083
3,16,0.8,0.8640883105966669,0.9954934453878651
3,16,0.9,0.8736625849314792,0.9994709966326087
3,16,0.95,0.8748332362439937,0.9999344046508599
3,16,0.99,0.8749986663580602,0.999999475837259
3,32,0.01,0.0008611181045500416,0.03313474215105957
3,32,0.1,0.013893112295637383,0.05858982517928261
3,32,0.5,0.6034137926672175,0.7881323006265698
3,32,0.7,0.8308218995222104,0.9758589335160305
3,32,0.8,0.8627866617616008,0.9939938499557613
3,32,0.9,0.8735126231567707,0.9992994401907859
3,32,0.95,0.8748146857543202,0.9999132014408318
3,32,0.99,0.8749985181742674,0.9999993064841836
3,64,0.01,0.00043098296291534203,0.016583682624071054
3,64,0.1,0.007057617025126601,0.029763276858731064
3,64,0.5,0.5419923727700819,0.7079084052507193
3,64,0.7,0.8245262821246759,0.9684642867416543
3,64,0.8,0.861318047447001,0.9923018979804159
3,64,0.9,0.8733456772268232,0.9991084538559396
3,64,0.95,0.8747940691249092,0.9998896366330469
3,64,0.99,0.8749983535252908,0.9999991183137363
3,128,0.01,0.00021559764507973018,0.008295926354754018
3,128,0.1,0.0035573716807736654,0.015002094594722896
3,128,0.5,0.4665180475905236,0.6093296948121125
3,128,0.7,0.8171268432870071,0.959773123813839
3,128,0.8,0.8596581226273651,0.9903895421974253
3,128,0.9,0.8731597835329364,0.9988957912574705
3,128,0.95,0.8747711556159291,0.9998634464918734
3,128,0.99,0.874998170581591,0.9999989092350132
3,256,0.01,0.00010782538674286667,0.0041489853345146365
3,256,0.1,0.001785930063650547,0.007531597527255868
3,256,0.5,0.37821046198191255,0.49398917483351845
3,256,0.7,0.8083713449140898,0.9494891732950695
3,256,0.8,0.8577782555020471,0.9882237966613446
3,256,0.9,0.8729527419677385,0.9986589354700283
3,256,0.95,0.8747456885749094,0.9998343376635331
3,256,0.99,0.874997967310329,0.9999986769247672
3,512,0.01,5.391933733763074e-05,0.002074748318724461
3,512,0.1,0.0008947892567465223,0.0037734918576553403
3,512,0.5,0.2833184497075901,0.3700485873731789
3,512,0.7,0.7979333366510729,0.9372289962132702
3,512,0.8,0.8556445878705081,0.985765654228696
3,512,0.9,0.8727220852068283,0.9983950638716753
3,512,0.95,0.8747173824928096,0.9998019838111875
3,512,0.99,0.8749977414527731,0.999998418801588
3,1024,0.01,2.6961330024988117e-05,0.001037438086259266
3,1024,0.1,0.00044785234607240597,0.001888676209056009
3,1024,0.5,0.19328935591883384,0.2524595669143952
3,1024,0.7,0.785385906148816,0.9224911538967153
3,1024,0.8,0.8532168428359234,0.9829687129446122
3,1024,0.9,0.8724650434811327,0.9981010078434237
3,1024,0.95,0.8746859197176945,0.999766021858669
3,1024,0.99,0.8749974904991947,0.9999981319972117
4,8,0.01,0.004953849241101017,0.13410078160040168
4,8,0.1,0.08256564404092007,0.25609194623528564
4,8,0.5,0.8570884781376791,0.9751762240144259
4,8,0.7,0.9283046181359801,0.9982776415751374
4,8,0.8,0.9357123667569448,0.9996926995266505
4,8,0.9,0.9373886860914862,0.999981263290581
4,8,0.95,0.9374930444935416,0.9999988307858035
4,8,0.99,0.9374999888713613,0.9999999981294522
4,16,0.01,0.002490045360071096,0.06740556943791308
4,16,0.1,0.0450672067543994,0.13978391161585546
4,16,0.5,0.8472641940572767,0.9639983719051681
4,16,0.7,0.9276902702288691,0.9976169858293448
4,16,0.8,0.9356044107977152,0.999577361963371
4,16,0.9,0.9373821273315257,0.9999742665802854
4,16,0.95,0.9374926353036055,0.9999983943138104
4,16,0.99,0.9374999882167354,0.9999999974311845
4,32,0.01,0.0012483336369056533,0.03379241237666614
4,32,0.1,0.023641136380432026,0.07332716527806774
4,32,0.5,0.83563625568544,0.9507683620243228
4,32,0.7,0.9270297066649454,0.9969066308189084
4,32,0.8,0.9354897563712443,0.9994548679179961
4,32,0.9,0.9373751814419903,0.9999668568904787
4,32,0.95,0.937492202038526,0.9999979321615039
4,32,0.99,0.9374999875236021,0.9999999966918424
4,64,0.01,0.0006249984501590944,0.016918718472495636
4,64,0.1,0.012122166700410473,0.03759904375430213
4,64,0.5,0.8217353814507575,0.9349522562284175
4,64,0.7,0.9263187377992127,0.9961420710950301
4,64,0.8,0.9353679655845659,0.9993247495561602
4,64,0.9,0.9373678254902663,0.9999590097572598
4,64,0.95,0.9374917432814945,0.9999974428176118
4,64,0.99,0.9374999867896963,0.9999999959090095
4,128,0.01,0.0003127076224806071,0.00846500055737115
4,128,0.1,0.006139929634935033,0.01904407757273636
4,128,0.5,0.8049369500910665,0.9158393743258356
4,128,0.7,0.9255526939717414,0.9953182850117864
4,128,0.8,0.9352385691432767,0.9991865054949538
4,128,0.9,0.9373600351752756,0.9999506992568863
4,128,0.95,0.9374912575322857,0.9999969246818841
4,128,0.99,0.9374999860126194,0.9999999950801275
4,256,0.01,0.00015640597195815332,0.004233912270187951
4,256,0.1,0.003090132507978853,0.009584592445025037
4,256,0.5,0.784403393631372,0.8924767500872499
4,256,0.7,0.9247263560564394,0.9944296600398582
4,256,0.8,0.9351010637560939,0.999039598030015
