run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,0,1,1,dephase_z,iid_p,0.01,0.01,1.0,0,True,0.9949999999999994,0.005,0.9900499999999992,0.9899999999999995,1,0,0.9999999999999996,0.9949999999999994,0.005,0.005,0.9900499999999992,0.9900499999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,0.9950249999999988,0,True,0.9974749378156326,0.0025250621843671,0.9949626275093352,0.9949498756312656,1,1,0.9999999999999996,0.9949999999999994,0.0025250621843671,0.005,0.9949626275093352,0.9900499999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,2,4,4,dephase_z,iid_p,0.01,0.01,0.9875810629687474,0,True,0.9987310849393892,0.0012689150606106,0.9974653901696406,0.9974621698787786,1,2,0.9999999999999996,0.9949999999999994,0.0012689150606106,0.005,0.9974653901696406,0.9900499999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,3,8,8,dephase_z,iid_p,0.01,0.01,0.9740803327227496,0,True,0.999363931303994,0.0006360686960055,0.9987286717747608,0.9987278626079886,1,3,0.9999999999999996,0.9949999999999994,0.0006360686960055,0.005,0.9987286717747608,0.9900499999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,0,1,1,dephase_z,iid_p,0.1,0.1,1.0,0,True,0.9499999999999992,0.0500000000000001,0.9049999999999992,0.8999999999999995,1,0,0.9999999999999996,0.9499999999999992,0.0500000000000001,0.0500000000000001,0.9049999999999992,0.9049999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,0.9524999999999988,0,True,0.9724409448818896,0.0275590551181101,0.9464008928017856,0.9448818897637794,1,1,0.9999999999999996,0.9499999999999992,0.0275590551181101,0.0500000000000001,0.9464008928017856,0.9049999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,2,4,4,dephase_z,iid_p,0.1,0.1,0.8829421874999971,0,True,0.985450809881026,0.0145491901189735,0.9713249776282886,0.9709016197620526,1,2,0.9999999999999996,0.9499999999999992,0.0145491901189735,0.0500000000000001,0.9713249776282886,0.9049999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,3,8,8,dephase_z,iid_p,0.1,0.1,0.7684095704754584,0,True,0.9925122091894504,0.0074877908105493,0.9851365524013462,0.9850244183789012,1,3,0.9999999999999996,0.9499999999999992,0.0074877908105493,0.0500000000000001,0.9851365524013462,0.9049999999999992
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,0,1,1,dephase_z,iid_p,0.2,0.2,1.0,0,True,0.8999999999999994,0.1,0.8199999999999992,0.7999999999999996,1,0,0.9999999999999996,0.8999999999999994,0.1,0.1,0.8199999999999992,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,0.9099999999999988,0,True,0.9395604395604392,0.0604395604395603,0.8864267600531335,0.879120879120879,1,1,0.9999999999999996,0.8999999999999994,0.0604395604395603,0.1,0.8864267600531335,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,2,4,4,dephase_z,iid_p,0.2,0.2,0.7810749999999974,0,True,0.9660243894632394,0.0339756105367601,0.9343574631491708,0.9320487789264794,1,2,0.9999999999999996,0.8999999999999994,0.0339756105367601,0.1,0.9343574631491708,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,3,8,8,dephase_z,iid_p,0.2,0.2,0.5900546167187457,0,True,0.9818389551479724,0.0181610448520272,0.96433755739618,0.9636779102959452,1,3,0.9999999999999996,0.8999999999999994,0.0181610448520272,0.1,0.96433755739618,0.8199999999999992
