noise_type,dimension,initial_delta,purification_levels,purity_evolution,theoretical_purity,logical_error_evolution,success_probabilities,amplification_iterations,convergence_rate,final_convergence_achieved,iterations_to_convergence
depolarizing,2,0.1,"[0, 1, 2, 3, 4]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146]","[0.05, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157]","[0.9525, 0.9732004464008928, 0.9856624888141444, 0.9925682762006731]","[0, 0, 0, 0]",0.023099914634928637,True,4
depolarizing,2,0.2,"[0, 1, 2, 3, 4, 5]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759, 0.9904086694760538]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759, 0.9904086694760538]","[0.1, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059, 0.004795665261973114]","[0.91, 0.9432133800265668, 0.9671787315745853, 0.98216877869809, 0.9906753253649693]","[0, 0, 0, 0, 0]",0.038081733895210745,True,5
depolarizing,2,0.3,"[0, 1, 2, 3, 4, 5, 6]","[0.7, 0.8022922636103151, 0.8807511440887059, 0.9330676456623875, 0.9642577108644802, 0.9814844978488851, 0.990570051052232]","[0.7, 0.8022922636103151, 0.8807511440887059, 0.9330676456623875, 0.9642577108644802, 0.9814844978488851, 0.990570051052232]","[0.15, 0.09885386819484243, 0.05962442795564704, 0.03346617716880623, 0.0178711445677599, 0.00925775107555743, 0.004714974473884026]","[0.8725, 0.9109182190622409, 0.9439306444533911, 0.9676538078454877, 0.9824482332404019, 0.9908279548794195]","[0, 0, 0, 0, 0, 0]",0.04842834184203867,True,6
depolarizing,2,0.4,"[0, 1, 2, 3, 4, 5, 6]","[0.6, 0.7142857142857143, 0.813953488372093, 0.8889545186060248, 0.9381511320377489, 0.96713432306979, 0.9830227230176241]","[0.6, 0.7142857142857143, 0.813953488372093, 0.8889545186060248, 0.9381511320377489, 0.96713432306979, 0.9830227230176241]","[0.2, 0.14285714285714285, 0.09302325581395349, 0.055522740696987594, 0.030924433981125543, 0.016432838465105015, 0.008488638491187972]","[0.84, 0.8775510204081632, 0.9156300703082748, 0.9475600340375173, 0.9700318866359274, 0.9838371997149152]","[0, 0, 0, 0, 0, 0]",0.06383712050293734,True,6
depolarizing,2,0.5,"[0, 1, 2, 3, 4, 5, 6]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709, 0.9429680453524304, 0.9698352121346815]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709, 0.9429680453524304, 0.9698352121346815]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457, 0.028515977323784802, 0.015082393932659255]","[0.8125, 0.8446745562130178, 0.8826949678107968, 0.920307256153814, 0.9510793439243019, 0.9722971836389458]","[0, 0, 0, 0, 0, 0]",0.07830586868911359,True,6
depolarizing,2,0.6,"[0, 1, 2, 3, 4, 5, 6]","[0.4, 0.5063291139240507, 0.6219554199675246, 0.7345579049059936, 0.830108517997787, 0.9000710029311226, 0.9449247350640809]","[0.4, 0.5063291139240507, 0.6219554199675246, 0.7345579049059936, 0.830108517997787, 0.9000710029311226, 0.9449247350640809]","[0.3, 0.24683544303797467, 0.18902229001623772, 0.1327210475470032, 0.08494574100110652, 0.049964498534438684, 0.02753763246795954]","[0.79, 0.8140922929017785, 0.846707136106745, 0.8848938289149707, 0.9222700379131206, 0.9525319525793592]","[0, 0, 0, 0, 0, 0]",0.09082078917734682,False,6
depolarizing,2,0.7,"[0, 1, 2, 3, 4, 5, 6]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391, 0.8200054440148863, 0.8931526527070803]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391, 0.8200054440148863, 0.8931526527070803]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044, 0.08999727799255686, 0.053423673646459835]","[0.7725, 0.7877038363653501, 0.810765856075579, 0.8424418692946414, 0.8802533292700132, 0.9181022320535127]","[0, 0, 0, 0, 0, 0]",0.09885877545118005,False,6
