noise_type,dimension,N,physical_error_rate,iterations,logical_errors,fidelities,purities,success_probabilities,amplification_iterations,total_swap_operations,total_amplification_iterations,memory_levels_used,theoretical_predictions
symmetric_pauli,2,32,0.2,"[0, 1, 2, 3, 4, 5]","[0.13333333333333341, 0.03200000000000002, 0.007680000000000006, 0.0018431999999999997, 0.0004423680000000006, 0.00010616832000001644]","[0.866666666666667, 0.9680000000000005, 0.9923200000000005, 0.9981568000000005, 0.9995576320000006, 0.9998938316800006]","[0.7333333333333337, 0.9360000000000005, 0.9846400000000005, 0.9963136000000006, 0.9991152640000006, 0.9997876633600006]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10]",31,0,5,"[0.09999999999999998, 0.05999999999999994, 0.015999999999999903, 0.0, 0.0, 0.0]"
symmetric_pauli,2,32,0.5,"[0, 1, 2, 3, 4, 5]","[0.3333333333333333, 0.10000000000000005, 0.030000000000000047, 0.008999999999999994, 0.002700000000000014, 0.0008100000000000316]","[0.6666666666666666, 0.8999999999999999, 0.97, 0.991, 0.9973000000000001, 0.99919]","[0.33333333333333337, 0.7999999999999999, 0.94, 0.982, 0.9945999999999999, 0.9983799999999999]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10]",31,0,5,"[0.25, 0.22499999999999998, 0.19749999999999995, 0.1672499999999999, 0.13397499999999984, 0.0973724999999998]"
symmetric_pauli,2,32,0.8,"[0, 1, 2, 3, 4, 5]","[0.5333333333333334, 0.1920000000000001, 0.06912000000000004, 0.024883200000000032, 0.008957951999999995, 0.0032248627200000086]","[0.4666666666666666, 0.8080000000000002, 0.9308800000000003, 0.9751168000000003, 0.9910420480000004, 0.9967751372800003]","[0.06666666666666671, 0.6160000000000001, 0.8617600000000003, 0.9502336000000002, 0.9820840960000004, 0.9935502745600003]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10]",31,0,5,"[0.4, 0.39, 0.379, 0.3669, 0.35358999999999996, 0.33894899999999994]"
symmetric_pauli,2,32,0.9,"[0, 1, 2, 3, 4, 5]","[0.6, 0.22799999999999995, 0.08663999999999993, 0.03292319999999996, 0.012510815999999987, 0.004754110079999986]","[0.4, 0.7720000000000002, 0.9133600000000002, 0.9670768000000001, 0.9874891840000002, 0.9952458899200002]","[0.19999999999999993, 0.5440000000000003, 0.8267200000000002, 0.9341536000000003, 0.9749783680000002, 0.9904917798400001]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10]",31,0,5,"[0.45, 0.445, 0.4395, 0.43345, 0.426795, 0.4194745]"
symmetric_pauli,2,32,0.95,"[0, 1, 2, 3, 4, 5]","[0.6333333333333333, 0.24699999999999994, 0.09633, 0.03756869999999998, 0.014651792999999993, 0.005714199269999992]","[0.36666666666666675, 0.753, 0.9036699999999999, 0.9624312999999999, 0.9853482069999999, 0.9942858007299998]","[0.2666666666666666, 0.506, 0.8073399999999998, 0.9248625999999999, 0.9706964139999998, 0.9885716014599999]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10]",31,0,5,"[0.475, 0.4725, 0.46974999999999995, 0.46672499999999995, 0.46339749999999996, 0.45973724999999993]"
symmetric_pauli,2,32,0.99,"[0, 1, 2, 3, 4, 5]","[0.6599999999999999, 0.26267999999999986, 0.10454663999999994, 0.04160956271999995, 0.016560605962559972, 0.006591121173098872]","[0.3400000000000001, 0.73732, 0.8954533599999999, 0.9583904372799998, 0.9834393940374397, 0.9934088788269009]","[0.31999999999999995, 0.47464000000000006, 0.79090672, 0.9167808745599999, 0.9668787880748798, 0.9868177576538021]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10]",31,0,5,"[0.495, 0.4945, 0.49395, 0.493345, 0.4926795, 0.49194745]"
symmetric_pauli,2,64,0.1,"[0, 1, 2, 3, 4, 5, 6]","[0.06666666666666664, 0.014666666666666658, 0.0032266666666666798, 0.0007098666666666861, 0.00015617066666665462, 3.435754666669191e-05, 7.55866026667685e-06]","[0.9333333333333332, 0.9853333333333332, 0.9967733333333333, 0.9992901333333333, 0.9998438293333333, 0.9999656424533332, 0.9999924413397332]","[0.8666666666666666, 0.9706666666666666, 0.9935466666666666, 0.9985802666666665, 0.9996876586666665, 0.9999312849066665, 0.9999848826794665]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.04999999999999999, 0.004999999999999949, 0.0, 0.0, 0.0, 0.0, 0.0]"
symmetric_pauli,2,64,0.2,"[0, 1, 2, 3, 4, 5, 6]","[0.1333333333333333, 0.031999999999999966, 0.00768, 0.0018432000000000062, 0.000442368000000027, 0.0001061683200000118, 2.5480396799990987e-05]","[0.8666666666666667, 0.968, 0.9923199999999999, 0.9981567999999998, 0.9995576319999999, 0.9998938316799999, 0.9999745196031999]","[0.7333333333333334, 0.9359999999999999, 0.9846399999999998, 0.9963135999999999, 0.999115264, 0.9997876633599998, 0.9999490392064]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.09999999999999998, 0.05999999999999994, 0.015999999999999903, 0.0, 0.0, 0.0, 0.0]"
symmetric_pauli,2,64,0.5,"[0, 1, 2, 3, 4, 5, 6]","[0.33333333333333337, 0.10000000000000002, 0.030000000000000002, 0.009000000000000013, 0.0027000000000000123, 0.0008099999999999693, 0.00024299999999998387]","[0.6666666666666667, 0.9000000000000001, 0.9700000000000002, 0.9910000000000001, 0.9973000000000001, 0.9991900000000001, 0.9997570000000001]","[0.3333333333333334, 0.8000000000000002, 0.9400000000000002, 0.9820000000000001, 0.9946, 0.9983800000000002, 0.9995140000000001]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.25, 0.22499999999999998, 0.19749999999999995, 0.1672499999999999, 0.13397499999999984, 0.0973724999999998, 0.05710974999999974]"
symmetric_pauli,2,64,0.8,"[0, 1, 2, 3, 4, 5, 6]","[0.5333333333333334, 0.19200000000000014, 0.06912000000000004, 0.02488320000000001, 0.00895795200000001, 0.0032248627199999973, 0.001160950579199996]","[0.4666666666666666, 0.808, 0.9308800000000003, 0.9751168000000003, 0.9910420480000003, 0.9967751372800002, 0.9988390494208004]","[0.06666666666666671, 0.616, 0.8617600000000002, 0.9502336000000002, 0.9820840960000002, 0.9935502745600003, 0.9976780988416003]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.4, 0.39, 0.379, 0.3669, 0.35358999999999996, 0.33894899999999994, 0.32284389999999996]"
symmetric_pauli,2,64,0.9,"[0, 1, 2, 3, 4, 5, 6]","[0.6000000000000001, 0.228, 0.08663999999999994, 0.032923199999999965, 0.01251081599999998, 0.00475411007999998, 0.001806561830399975]","[0.39999999999999997, 0.7720000000000002, 0.9133600000000004, 0.9670768000000003, 0.9874891840000003, 0.9952458899200003, 0.9981934381696004]","[0.19999999999999996, 0.5440000000000003, 0.8267200000000005, 0.9341536000000004, 0.9749783680000004, 0.9904917798400004, 0.9963868763392003]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.45, 0.445, 0.4395, 0.43345, 0.426795, 0.4194745, 0.41142195]"
symmetric_pauli,2,64,0.95,"[0, 1, 2, 3, 4, 5, 6]","[0.6333333333333334, 0.24700000000000005, 0.09633, 0.03756870000000001, 0.014651793000000005, 0.00571419927000003, 0.0022285377152999946]","[0.36666666666666664, 0.7530000000000001, 0.9036700000000002, 0.9624313000000002, 0.9853482070000003, 0.9942858007300002, 0.9977714622847003]","[0.26666666666666666, 0.5060000000000001, 0.8073400000000003, 0.9248626000000002, 0.9706964140000002, 0.9885716014600001, 0.9955429245694003]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.475, 0.4725, 0.46974999999999995, 0.46672499999999995, 0.46339749999999996, 0.45973724999999993, 0.4557109749999999]"
symmetric_pauli,2,64,0.99,"[0, 1, 2, 3, 4, 5, 6]","[0.6600000000000003, 0.26268, 0.10454663999999998, 0.041609562719999986, 0.016560605962559996, 0.006591121173098889, 0.0026232662268933413]","[0.3399999999999999, 0.7373200000000002, 0.8954533600000003, 0.9583904372800003, 0.9834393940374403, 0.9934088788269014, 0.997376733773107]","[0.3200000000000001, 0.47464000000000023, 0.7909067200000003, 0.9167808745600003, 0.9668787880748803, 0.9868177576538025, 0.9947534675462135]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.495, 0.4945, 0.49395, 0.493345, 0.4926795, 0.49194745, 0.491142195]"
