noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name,best_output_fidelity,average_output_fidelity,output_fidelities,fidelity_evolution_trace
depolarizing,2,8,0.01,0,1,3,4,3.0,7,0,0.0006360686960057427,0.0006360686960057427,0.0006360686960057427,2.6666666666666665,[3],True,Depolarizing_d2_delta0.010,0.9993639313039943,0.9993639313039943,[0.9993639313039943],"[(0, 0.995, 0), (1, 0.9974749378156327, 1), (2, 0.995, 0), (2, 0.9974749378156327, 1), (3, 0.9987310849393893, 2), (4, 0.995, 0), (4, 0.9987310849393893, 2), (5, 0.9974749378156327, 1), (5, 0.9987310849393893, 2), (6, 0.995, 0), (6, 0.9974749378156327, 1), (6, 0.9987310849393893, 2), (7, 0.9993639313039943, 3)]"
depolarizing,2,8,0.1,0,1,3,4,3.0,7,0,0.007487790810549455,0.007487790810549455,0.007487790810549455,2.6666666666666665,[3],True,Depolarizing_d2_delta0.100,0.9925122091894505,0.9925122091894505,[0.9925122091894505],"[(0, 0.95, 0), (1, 0.9724409448818898, 1), (2, 0.95, 0), (2, 0.9724409448818898, 1), (3, 0.9854508098810264, 2), (4, 0.95, 0), (4, 0.9854508098810264, 2), (5, 0.9724409448818898, 1), (5, 0.9854508098810264, 2), (6, 0.95, 0), (6, 0.9724409448818898, 1), (6, 0.9854508098810264, 2), (7, 0.9925122091894505, 3)]"
depolarizing,2,8,0.5,0,1,3,4,3.0,7,0,0.0873170028292733,0.0873170028292733,0.0873170028292733,2.6666666666666665,[3],True,Depolarizing_d2_delta0.500,0.9126829971707267,0.9126829971707267,[0.9126829971707267],"[(0, 0.75, 0), (1, 0.8076923076923077, 1), (2, 0.75, 0), (2, 0.8076923076923077, 1), (3, 0.8642732049036778, 2), (4, 0.75, 0), (4, 0.8642732049036778, 2), (5, 0.8076923076923077, 1), (5, 0.8642732049036778, 2), (6, 0.75, 0), (6, 0.8076923076923077, 1), (6, 0.8642732049036778, 2), (7, 0.9126829971707267, 3)]"
depolarizing,2,8,0.7,0,1,3,4,3.0,7,0,0.19595745479515309,0.19595745479515309,0.19595745479515309,2.6666666666666665,[3],True,Depolarizing_d2_delta0.700,0.804042545204847,0.804042545204847,[0.804042545204847],"[(0, 0.65, 0), (1, 0.6941747572815534, 1), (2, 0.65, 0), (2, 0.6941747572815534, 1), (3, 0.7465073144464056, 2), (4, 0.65, 0), (4, 0.7465073144464056, 2), (5, 0.6941747572815534, 1), (5, 0.7465073144464056, 2), (6, 0.65, 0), (6, 0.6941747572815534, 1), (6, 0.7465073144464056, 2), (7, 0.804042545204847, 3)]"
depolarizing,2,8,0.8,0,1,3,4,3.0,7,0,0.27998595388191233,0.27998595388191233,0.27998595388191233,2.6666666666666665,[3],True,Depolarizing_d2_delta0.800,0.7200140461180877,0.7200140461180877,[0.7200140461180877],"[(0, 0.6, 0), (1, 0.631578947368421, 1), (2, 0.6, 0), (2, 0.631578947368421, 1), (3, 0.6714801444043321, 2), (4, 0.6, 0), (4, 0.6714801444043321, 2), (5, 0.631578947368421, 1), (5, 0.6714801444043321, 2), (6, 0.6, 0), (6, 0.631578947368421, 1), (6, 0.6714801444043321, 2), (7, 0.7200140461180877, 3)]"
depolarizing,2,8,0.9,0,1,3,4,3.0,7,0,0.3837686931851726,0.3837686931851726,0.3837686931851726,2.6666666666666665,[3],True,Depolarizing_d2_delta0.900,0.6162313068148274,0.6162313068148274,[0.6162313068148274],"[(0, 0.55, 0), (1, 0.5664451827242525, 1), (2, 0.55, 0), (2, 0.5664451827242525, 1), (3, 0.5880751125627737, 2), (4, 0.55, 0), (4, 0.5880751125627737, 2), (5, 0.5664451827242525, 1), (5, 0.5880751125627737, 2), (6, 0.55, 0), (6, 0.5664451827242525, 1), (6, 0.5880751125627737, 2), (7, 0.6162313068148274, 3)]"
depolarizing,2,8,0.95,0,1,3,4,3.0,7,0,0.44103211561154715,0.44103211561154715,0.44103211561154715,2.6666666666666665,[3],True,Depolarizing_d2_delta0.950,0.5589678843884529,0.5589678843884529,[0.5589678843884529],"[(0, 0.525, 0), (1, 0.5333055786844296, 1), (2, 0.525, 0), (2, 0.5333055786844296, 1), (3, 0.5443418559568101, 2), (4, 0.525, 0), (4, 0.5443418559568101, 2), (5, 0.5333055786844296, 1), (5, 0.5443418559568101, 2), (6, 0.525, 0), (6, 0.5333055786844296, 1), (6, 0.5443418559568101, 2), (7, 0.5589678843884529, 3)]"
depolarizing,2,8,0.99,0,1,3,4,3.0,7,0,0.488150493528762,0.488150493528762,0.488150493528762,2.6666666666666665,[3],True,Depolarizing_d2_delta0.990,0.511849506471238,0.511849506471238,[0.511849506471238],"[(0, 0.505, 0), (1, 0.5066664444518516, 1), (2, 0.505, 0), (2, 0.5066664444518516, 1), (3, 0.5088880659373767, 2), (4, 0.505, 0), (4, 0.5088880659373767, 2), (5, 0.5066664444518516, 1), (5, 0.5088880659373767, 2), (6, 0.505, 0), (6, 0.5066664444518516, 1), (6, 0.5088880659373767, 2), (7, 0.511849506471238, 3)]"
depolarizing,2,16,0.01,0,1,4,5,4.0,15,0,0.0003184390599783593,0.0003184390599783593,0.0003184390599783593,4.0,[4],True,Depolarizing_d2_delta0.010,0.9996815609400216,0.9996815609400216,[0.9996815609400216],"[(0, 0.995, 0), (1, 0.9974749378156327, 1), (2, 0.995, 0), (2, 0.9974749378156327, 1), (3, 0.9987310849393893, 2), (4, 0.995, 0), (4, 0.9987310849393893, 2), (5, 0.9974749378156327, 1), (5, 0.9987310849393893, 2), (6, 0.995, 0), (6, 0.9974749378156327, 1), (6, 0.9987310849393893, 2), (7, 0.9993639313039943, 3), (8, 0.995, 0), (8, 0.9993639313039943, 3), (9, 0.9974749378156327, 1), (9, 0.9993639313039943, 3), (10, 0.995, 0), (10, 0.9974749378156327, 1), (10, 0.9993639313039943, 3), (11, 0.9987310849393893, 2), (11, 0.9993639313039943, 3), (12, 0.995, 0), (12, 0.9987310849393893, 2), (12, 0.9993639313039943, 3), (13, 0.9974749378156327, 1), (13, 0.9987310849393893, 2), (13, 0.9993639313039943, 3), (14, 0.995, 0), (14, 0.9974749378156327, 1), (14, 0.9987310849393893, 2), (14, 0.9993639313039943, 3), (15, 0.9996815609400216, 4)]"
depolarizing,2,16,0.1,0,1,4,5,4.0,15,0,0.0038001707301427157,0.0038001707301427157,0.0038001707301427157,4.0,[4],True,Depolarizing_d2_delta0.100,0.9961998292698573,0.9961998292698573,[0.9961998292698573],"[(0, 0.95, 0), (1, 0.9724409448818898, 1), (2, 0.95, 0), (2, 0.9724409448818898, 1), (3, 0.9854508098810264, 2), (4, 0.95, 0), (4, 0.9854508098810264, 2), (5, 0.9724409448818898, 1), (5, 0.9854508098810264, 2), (6, 0.95, 0), (6, 0.9724409448818898, 1), (6, 0.9854508098810264, 2), (7, 0.9925122091894505, 3), (8, 0.95, 0), (8, 0.9925122091894505, 3), (9, 0.9724409448818898, 1), (9, 0.9925122091894505, 3), (10, 0.95, 0), (10, 0.9724409448818898, 1), (10, 0.9925122091894505, 3), (11, 0.9854508098810264, 2), (11, 0.9925122091894505, 3), (12, 0.95, 0), (12, 0.9854508098810264, 2), (12, 0.9925122091894505, 3), (13, 0.9724409448818898, 1), (13, 0.9854508098810264, 2), (13, 0.9925122091894505, 3), (14, 0.95, 0), (14, 0.9724409448818898, 1), (14, 0.9854508098810264, 2), (14, 0.9925122091894505, 3), (15, 0.9961998292698573, 4)]"
