noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,2,128,0.8,0,1,7,8,7.0,127,0,0.06962143663455533,0.06962143663455533,0.06962143663455533,18.285714285714285,[7],True,Depolarizing_d2_delta0.800
depolarizing,2,128,0.9,0,1,7,8,7.0,127,0,0.1927019357890684,0.1927019357890684,0.1927019357890684,18.285714285714285,[7],True,Depolarizing_d2_delta0.900
depolarizing,2,128,0.95,0,1,7,8,7.0,127,0,0.3229563550742036,0.3229563550742036,0.3229563550742036,18.285714285714285,[7],True,Depolarizing_d2_delta0.950
depolarizing,2,128,0.99,0,1,7,8,7.0,127,0,0.4626305039966959,0.4626305039966959,0.4626305039966959,18.285714285714285,[7],True,Depolarizing_d2_delta0.990
depolarizing,2,256,0.01,0,1,8,9,8.0,255,0,1.992622803359545e-05,1.992622803359545e-05,1.992622803359545e-05,32.0,[8],True,Depolarizing_d2_delta0.010
depolarizing,2,256,0.1,0,1,8,9,8.0,255,0,0.00024093023340343578,0.00024093023340343578,0.00024093023340343578,32.0,[8],True,Depolarizing_d2_delta0.100
depolarizing,2,256,0.5,0,1,8,9,8.0,255,0,0.003945793480274018,0.003945793480274018,0.003945793480274018,32.0,[8],True,Depolarizing_d2_delta0.500
depolarizing,2,256,0.7,0,1,8,9,8.0,255,0,0.01570982003546567,0.01570982003546567,0.01570982003546567,32.0,[8],True,Depolarizing_d2_delta0.700
depolarizing,2,256,0.8,0,1,8,9,8.0,255,0,0.039813159781735497,0.039813159781735497,0.039813159781735497,32.0,[8],True,Depolarizing_d2_delta0.800
depolarizing,2,256,0.9,0,1,8,9,8.0,255,0,0.13608907795726688,0.13608907795726688,0.13608907795726688,32.0,[8],True,Depolarizing_d2_delta0.900
depolarizing,2,256,0.95,0,1,8,9,8.0,255,0,0.2734115287753685,0.2734115287753685,0.2734115287753685,32.0,[8],True,Depolarizing_d2_delta0.950
depolarizing,2,256,0.99,0,1,8,9,8.0,255,0,0.4502666075285285,0.4502666075285285,0.4502666075285285,32.0,[8],True,Depolarizing_d2_delta0.990
depolarizing,2,512,0.01,0,1,9,10,9.0,511,0,9.963511075350429e-06,9.963511075350429e-06,9.963511075350429e-06,56.888888888888886,[9],True,Depolarizing_d2_delta0.010
depolarizing,2,512,0.1,0,1,9,10,9.0,511,0,0.00012052317107008603,0.00012052317107008603,0.00012052317107008603,56.888888888888886,[9],True,Depolarizing_d2_delta0.100
depolarizing,2,512,0.5,0,1,9,10,9.0,511,0,0.0019884966207602273,0.0019884966207602273,0.0019884966207602273,56.888888888888886,[9],True,Depolarizing_d2_delta0.500
depolarizing,2,512,0.7,0,1,9,10,9.0,511,0,0.008103615623854254,0.008103615623854254,0.008103615623854254,56.888888888888886,[9],True,Depolarizing_d2_delta0.700
depolarizing,2,512,0.8,0,1,9,10,9.0,511,0,0.021521863069709157,0.021521863069709157,0.021521863069709157,56.888888888888886,[9],True,Depolarizing_d2_delta0.800
depolarizing,2,512,0.9,0,1,9,10,9.0,511,0,0.08760417936728787,0.08760417936728787,0.08760417936728787,56.888888888888886,[9],True,Depolarizing_d2_delta0.900
depolarizing,2,512,0.95,0,1,9,10,9.0,511,0,0.2172388612888035,0.2172388612888035,0.2172388612888035,56.888888888888886,[9],True,Depolarizing_d2_delta0.950
depolarizing,2,512,0.99,0,1,9,10,9.0,511,0,0.4339067775831741,0.4339067775831741,0.4339067775831741,56.888888888888886,[9],True,Depolarizing_d2_delta0.990
